// name 		file 													bboxCorner.xyz 		bboxSize.xyz
Sphere			SDFScenes/sphere.slang									0 0 0				1 1 1
Spheres			SDFScenes/spheres.slang									-2 -2 -2			4 4 4
Dodecahedron	SDFScenes/sdf-explorer/Geometry/Dodecahedron.slang		-1 -1 -1			2 2 2
Teapot			SDFScenes/sdf-explorer/Manufactured/Teapot.slang		-0.75 -0.5 -1.0		1.5 1.25 2.0
Gear			SDFScenes/sdf-explorer/Manufactured/Gear.slang			-1 -1 -0.5			2 2 1.75
HumanHead		SDFScenes/sdf-explorer/Animal/HumanHead.slang			-0.75 -0.75 -0.75	1.5 1.5 1.5
Cheese			SDFScenes/sdf-explorer/Misc/Cheese.slang				-0.9 -0.5 -0.65		1.8 0.9 1.3
SDF3			SDFScenes/sdf_3.slang									-.7 -.45 -.7		1.4 1.3 1.4
Temple			SDFScenes/sdf-explorer/Manufactured/Temple.slang		-1 -0.75 -1.25		2 1.5 2.5
Mobius			SDFScenes/sdf-explorer/Manufactured/Mobius.slang		-1 -0.5 -1			2 1 2
//Tree			SDFScenes/sdf-explorer/Nature/Tree.slang				-2 -2 -2	        4 4 4
Girl			SDFScenes/sdf-explorer/Animal/Girl.slang				-1.25 -1.25 -1		2.5 2.5 2
Mandelbulb		SDFScenes/sdf-explorer/Fractal/Mandelbulb.slang			-1 -1 -1			2 2 2
Boat			SDFScenes/sdf-explorer/Vehicle/Boat.slang				-1 -1 -1			2 2 2
Menger			SDFScenes/sdf-explorer/Fractal/Menger.slang				-1.1 -1.1 -1.1		2.2 2.2 2.2
Julia			SDFScenes/sdf-explorer/Fractal/Julia.slang				-1 -1 -1			2 2 2
Mountain		SDFScenes/sdf-explorer/Nature/Mountain.slang			-0.6 -0.6 -0.6		1.2 1.2 1.2
